System,Region,Coordinates,SecurityRating,Stations,AsteroidBelts,IceBelts
I8-AJY,Malpais,"4.4157807968079,18.7097806698031",-0.801226749,0,14,0
6-WMKE,Malpais,"3.98728304810223,18.6136637035645",-0.817150101,0,8,0
J-Z8C2,Malpais,"4.79729415935938,19.2482254868895",-0.794781866,0,4,0
XTVZ-E,Malpais,"6.29020472873637,19.1464202207543",-0.685870897,0,11,0
APES-G,Malpais,"5.09586185386344,19.6252894394967",-0.819447361,0,5,0
B2J-5N,Malpais,"5.90020600003077,18.9799837436171",-0.746131958,0,13,0
2Z-HPQ,Malpais,"4.43976552953585,19.3709991860527",-0.776309511,0,4,0
NBW-GD,Malpais,"10.9063910554463,16.035095263718",-0.806485012,0,7,0
YM-SRU,Malpais,"10.3314129629632,16.1066992769314",-0.866974666,0,6,0
LO5-LN,Malpais,"10.6117118127226,15.8393786085713",-0.756705504,0,10,0
06-70G,Malpais,"10.953551269773,15.8507404947429",-0.725063143,0,10,0
UYG-YX,Malpais,"11.3274731208703,15.4882092214348",-0.626315415,0,17,0
GL6S-2,Malpais,"10.755090517542,15.7366375538405",-0.646250406,0,16,0
RUF3-O,Malpais,"11.7944095635611,15.7775621201974",-0.743316658,0,15,0
C-NMG9,Malpais,"11.1771532482369,15.9547837081591",-0.773167925,0,6,0
P3X-TN,Malpais,"10.0186396001983,16.4288739310137",-0.910896715,0,19,0
N6NK-J,Malpais,"11.6779112392322,17.3358988059276",-0.521622101,0,7,0
TP-APY,Malpais,"10.373690450148,17.266453286266",-0.550413177,0,2,0
9NI-FW,Malpais,"10.1741041031222,17.0577724276851",-0.781011574,0,3,0
H-EBQG,Malpais,"9.80130196135258,17.0285614038449",-0.773002858,0,4,0
DOA-YU,Malpais,"11.5515452006783,16.9592321220897",-0.349915468,0,31,0
ZOPZ-6,Malpais,"11.5995124591033,16.5462388897378",-0.198422096,0,7,1
863P-X,Malpais,"11.3815737673547,19.2305882259143",-0.359524526,0,6,1
ZO-YJZ,Malpais,"11.5488908568831,19.1659982131515",-0.457083208,0,24,0
6A-FUY,Malpais,"11.1319374437068,19.4350889344486",-0.428083144,0,7,1
HG-YEQ,Malpais,"10.9898299988627,19.2749278321458",-0.177481209,0,11,0
2FL-5W,Malpais,"11.2630846852103,18.8361901136579",-0.06201667,0,12,1
QSCO-D,Malpais,"11.2259290221347,19.7325122742564",-0.304890813,0,9,0
RXTY-4,Malpais,"11.5869727446816,20.7882230701748",-0.453998431,0,6,0
RSE-PT,Malpais,"11.4656483407896,19.585324203573",-0.129487145,0,11,0
WVJU-4,Malpais,"8.90711401671925,16.8103313816737",-0.37229901,0,6,0
7T-0QS,Malpais,"8.5571437926705,16.4934198028193",-0.394516664,0,1,0
RWML-A,Malpais,"8.86070346322492,16.0574541373459",-0.393284212,0,6,0
V-JCJS,Malpais,"8.37624526174735,17.0701407279962",-0.244460321,0,10,0
8C-VE3,Malpais,"8.43560236230521,15.9673741846924",-0.456512513,0,5,0
S5W-1Z,Malpais,"8.39534947439515,16.7585599071337",-0.086742226,0,9,0
IL-OL1,Malpais,"7.73752466318253,17.4485921784851",-0.292242462,0,15,0
POQP-K,Malpais,"8.8747219002227,19.9873528184917",-0.305431663,0,16,0
FO9-FZ,Malpais,"8.98391636505289,20.5833324497129",-0.302326297,0,5,2
4QY-NT,Malpais,"9.6580475869377,20.8229296449941",-0.261406025,0,3,0
0-N1BJ,Malpais,"8.44043947714625,20.5665647658511",-0.326975764,0,10,0
T-8GWA,Malpais,"8.0766325297702,20.7159113300553",-0.331786843,0,19,1
UW-6MW,Malpais,"8.26106675250535,20.9912553557236",-0.457935607,0,0,0
F9E-KX,Catch,"-19.2161188153175,-9.33284559784671",-0.253848032,0,15,0
9KOE-A,Catch,"-21.0569341791348,-7.37888515224743",-0.047011727,0,12,0
U-QVWD,Catch,"-21.8287243585674,-7.17164402500356",-0.070598405,0,19,0
B-3QPD,Catch,"-22.8417037509839,-6.97977719827264",-0.075743375,0,16,0
36N-HZ,Catch,"-21.5892360443202,-6.7471013073732",-0.06173274,0,4,0
SV5-8N,Catch,"-20.2245914145237,-9.41598291131161",-0.206793391,0,1,0
HY-RWO,Catch,"-22.8799313039628,-8.40553132522412",-0.075785132,0,1,0
WD-VTV,Catch,"-20.7455681776839,-8.09729344731785",-0.085439295,0,9,0
HED-GP,Catch,"-20.6915366853997,-9.54136975600012",-0.146322221,0,4,0
V-3YG7,Catch,"-23.6239332702397,-7.47783670454642",-0.08211144,0,9,0
QSM-LM,Catch,"-21.3778934851333,-6.01935278265685",-0.055183852,0,4,0
KDF-GY,Catch,"-20.3214985041465,-4.27178043996604",-0.10768789,0,5,1
QBQ-RF,Catch,"-20.7236830838363,-5.7136618388246",-0.046595015,0,3,0
9-8GBA,Catch,"-19.8652147493469,-4.05783981674993",-0.138827267,0,5,0
6-K738,Catch,"-20.3305179760651,-5.22193509065118",-0.054896906,0,10,0
ZXIC-7,Catch,"-19.8240871344819,-5.96444472423051",-0.106447996,0,7,0
2J-WJY,Catch,"-20.018157331409,-5.81565617547196",-0.051009634,0,6,0
1P-WGB,Catch,"-17.0452555194138,-4.93490216780399",-0.108843193,0,17,0
F4R2-Q,Catch,"-18.5131900233886,-5.78655734328917",-0.166850154,0,9,1
K0CN-3,Catch,"-17.6144739507382,-5.38046113779408",-0.107577836,0,5,0
WLAR-J,Catch,"-18.4435900103304,-6.6330410360844",-0.301717745,0,20,0
L7XS-5,Catch,"-17.8723822925341,-6.10809526385294",-0.154588492,0,3,0
VA6-DR,Catch,"-18.1843265407067,-5.4728824011698",-0.123047248,0,14,0
S-U2VD,Catch,"-18.6187663998978,-7.06838946362796",-0.095496355,0,8,0
GE-94X,Catch,"-17.7824995028908,-7.7082768552267",-0.152830687,0,7,0
GMLH-K,Catch,"-19.2834337974195,-6.47527311011551",-0.060582591,0,4,1
W9-DID,Catch,"-17.1023091969267,-8.3003235258358",-0.35357106,0,10,0
KW-I6T,Catch,"-16.2535430480189,-7.73825519626984",-0.225284022,0,15,0
EX-0LQ,Catch,"-16.2283032403117,-8.27725398258378",-0.143465677,0,8,0
MB-NKE,Catch,"-17.908697070083,-7.39262035132066",-0.453532237,0,25,1
G-7WUF,Catch,"-18.2150560139567,-7.76353546652885",-0.534772269,0,3,0
6-MM99,Catch,"-17.7252471909932,-7.52931832003837",-0.474130287,0,9,0
JBY6-F,Catch,"-17.1767132190849,-7.41416408832129",-0.517700217,0,11,0
FZ-6A5,Catch,"-17.193910541739,-6.89711807868067",-0.366423414,0,6,0
RNF-YH,Catch,"-17.6506975036237,-8.40186100341701",-0.65147565,0,15,0
I-8D0G,Catch,"-19.8585877181058,-4.544695608654",-0.060385985,0,8,0
R-K4QY,Catch,"-21.129830051443,-4.68665591691233",-0.043476911,0,7,0
JWZ2-V,Catch,"-22.2663467818202,-5.5162299390707",-0.051523879,0,9,1
OGL8-Q,Catch,"-21.9475238988794,-4.69152613746357",-0.046255115,0,5,1
GJ0-OJ,Catch,"-22.9736823141106,-5.88494352333166",-0.049050646,0,18,0
A-803L,Catch,"-23.4422402018397,-6.04101128618945",-0.042076845,0,7,0
WQH-4K,Catch,"-20.5055678281971,-5.25524607505991",-0.064407368,0,18,0
J-ODE7,Catch,"-22.2178314396347,-4.74061825502704",-0.039981044,0,4,0
Q-S7ZD,Catch,"-23.1442047739128,-4.92785837220497",-0.032710005,0,6,0
6X7-JO,Catch,"-24.306947127017,-5.47367252455399",-0.065348821,0,8,0
GE-8JV,Catch,"-24.4853590498503,-7.44443375978701",-0.209422965,0,11,1
3-OKDA,Catch,"-24.5680542179014,-8.10864871233513",-0.169150429,0,8,0
3GD6-8,Catch,"-24.9425830073689,-8.55845404385396",-0.215252214,0,5,1
4M-HGL,Catch,"-24.2664051157462,-8.32503217052755",-0.168030763,0,19,0
MY-W1V,Catch,"-24.6917063223942,-8.71874168362295",-0.086079587,0,12,0
AX-DOT,Catch,"-24.9048777891892,-7.07271012907512",-0.256979133,0,3,0
YHN-3K,Catch,"-24.0954633167115,-9.21746624718918",-0.123621081,0,19,0
CB4-Q2,Catch,"-15.3048270252016,-8.74965802029246",-0.205271736,0,3,0
CBL-XP,Catch,"-15.5975434660091,-9.36962606267789",-0.284195873,0,4,0
WJ-9YO,Catch,"-15.1774935636547,-9.13912411463899",-0.217576135,0,5,0
UQ-PWD,Catch,"-15.692578978441,-9.56737467391017",-0.33615481,0,10,0
N-8BZ6,Catch,"-14.7102657905414,-8.81552959262117",-0.151577013,0,21,1
A-VILQ,Catch,"-14.3126556869185,-8.42273232628356",-0.082278913,0,2,0
X3FQ-W,Catch,"-14.0875588008826,-9.19903371301907",-0.092574545,0,5,0
3-SFWG,Catch,"-14.5808518178592,-8.17211680873935",-0.075397222,0,3,0
MUXX-4,Catch,"-25.2913967379743,-7.10489772578161",-0.361386848,0,7,0
E1-4YH,Catch,"-25.9546442675604,-6.4583457831081",-0.55996895,0,7,0
B-XJX4,Catch,"-26.1113800304596,-6.44406102893079",-0.676332771,0,16,0
AOK-WQ,Catch,"-26.6978546390478,-6.43527918257421",-0.712912737,0,23,0
E3-SDZ,Catch,"-27.2831845251268,-6.23631890166355",-0.756952655,0,3,0
7LHB-Z,Catch,"-26.3562329441271,-6.86154634080975",-0.607210668,0,4,0
8B-2YA,Catch,"-24.0048198309888,-9.31578437656229",-0.076958168,0,6,0
SNFV-I,Catch,"-23.8576405885215,-9.88857160547063",-0.087070571,0,12,0
HP-64T,Catch,"-24.2905987824185,-10.1087806145231",-0.091246297,0,6,1
V2-VC2,Catch,"-24.7863416233386,-10.7741932588153",-0.114298965,1,12,0
L-B55M,Catch,"-25.201705225874,-11.5920989828834",-0.147160337,0,8,0
CX65-5,Catch,"-23.0349852958396,-10.1204985711941",-0.089751614,0,30,0
JA-O6J,Catch,"-22.5906799294234,-11.158346987166",-0.110487085,0,19,0
ZQ-Z3Y,Catch,"-13.3115104890487,-11.2476941996704",-0.094707159,0,9,0
G-AOTH,Catch,"-13.8819163125266,-10.8510485762915",-0.135772095,0,11,0
TA3T-3,Catch,"-13.6741020883409,-10.3380642717292",-0.14519977,0,4,0
E-YJ8G,Catch,"-13.135401253604,-10.1509514276739",-0.123014699,0,10,0
J6QB-P,Catch,"-14.0513087634104,-9.88254562710164",-0.189852129,0,4,0
KA6D-K,Catch,"-14.6888927319642,-9.79988871457142",-0.24381263,0,11,0
7MD-S1,Catch,"-16.6769579638235,-12.0120951804081",-0.215805678,0,8,0
ERVK-P,Catch,"-16.0180877472634,-11.1469821582762",-0.281191285,0,14,0
UL-7I8,Catch,"-15.3567382794549,-10.4062937076507",-0.302749365,0,9,0
BR-N97,Catch,"-15.9709319470293,-11.2047671045329",-0.251103692,0,17,0
IS-R7P,Catch,"-15.4097707144413,-12.0305424282306",-0.144608307,0,19,0
S25C-K,Catch,"-15.9664545811238,-11.0831432777203",-0.267336931,0,9,1
K717-8,Catch,"-24.3493489446063,-12.7721813811348",-0.247941371,0,12,0
NH-1X6,Catch,"-24.0935049289498,-12.9000680761912",-0.242856892,0,6,0
KH0Z-0,Catch,"-24.524173677767,-12.6707233573137",-0.180913657,0,7,0
5-N2EY,Catch,"-23.7359748277518,-12.7028403284145",-0.213176833,1,10,0
KB-U56,Catch,"-24.2648189834798,-13.4571786389478",-0.266734304,0,10,0
JGW-OT,Catch,"-24.5857576903587,-13.9309378045153",-0.373970136,0,12,0
UCG4-B,Catch,"-24.7952522141923,-14.4606750792252",-0.49538189,0,24,1
BUZ-DB,Catch,"-25.0708890416576,-14.7008004948037",-0.528354197,0,12,1
QETZ-W,Catch,"-25.7621602028997,-14.0284437399793",-0.404514618,0,10,0
WFC-MY,Catch,"-25.8282245241459,-14.4372038531113",-0.456576913,0,13,0
Q-U96U,Catch,"-25.8717151523527,-14.6973236576014",-0.496472707,0,7,0
X4-WL0,Catch,"-26.6295155864051,-15.1261605560922",-0.50530028,0,13,0
W-MPTH,Catch,"-25.9995326932087,-15.6551709761511",-0.624422709,0,13,0
4NBN-9,Catch,"-26.3587460368037,-15.8854853250524",-0.630749404,0,18,0
EX6-AO,Catch,"-25.4705590572963,-14.8182713918745",-0.531589818,0,8,2
CZK-ZQ,Catch,"-26.4871962649293,-16.195803714094",-0.660413304,0,6,0
CNC-4V,Catch,"-26.4726944843095,-16.5787251736776",-0.709488059,0,7,2
Y-PNRL,Catch,"-26.2139577636085,-16.949958103895",-0.774770971,0,6,0
FAT-6P,Catch,"-26.9735562065898,-16.4621120828168",-0.640413746,0,14,0
6BPS-T,Catch,"-25.976302771093,-17.4132779296084",-0.828767836,0,15,0
25S-6P,Catch,"-24.9541714838246,-17.8219512321696",-0.949040217,0,16,0
RR-D05,Catch,"-24.4459323337836,-18.4857931935351",-0.978185707,0,9,0
4-07MU,Catch,"-24.3884269469844,-18.898876179176",-1,0,14,0
Y-W1Q3,Venal,"24.708665283799,-16.1899314934651",-0.160160433,0,22,1
Y6-HPG,Venal,"25.2784869750572,-17.5365151089613",-0.113985437,0,19,0
Z-GY5S,Venal,"25.248841898363,-18.0655858550043",-0.113350308,0,11,0
KK-L97,Venal,"25.7037028425089,-17.2233672836392",-0.119006881,0,18,0
R-KZK7,Venal,"25.9005774625044,-18.1867219241023",-0.106761163,0,14,0
9-R6GU,Venal,"26.2571541186746,-18.2568928270714",-0.098748834,0,13,0
N-Q5PW,Venal,"25.7592763260713,-15.8834607258085",-0.166216452,0,11,0
P-FSQE,Venal,"26.5770025435616,-15.9326278830085",-0.149703189,0,2,0
H-PA29,Venal,"26.988228665633,-14.2671228030665",-0.241053552,2,3,1
1-Y6KI,Venal,"27.5138681868054,-14.7956668001866",-0.18059148,0,5,0
YP-J33,Venal,"28.3889600113198,-15.5549474281587",-0.139471586,0,21,0
D-8SI1,Venal,"28.6514075163797,-16.0419724271426",-0.12910803,0,28,0
9-266Q,Venal,"27.5574353260541,-13.9438990652004",-0.250879384,0,6,0
K3JR-J,Venal,"29.1211292543937,-15.8221606868285",-0.138659587,1,8,0
CSOA-B,Venal,"29.5943322437027,-15.6930145027004",-0.152216756,0,4,0
6W-HRH,Venal,"30.344819990102,-16.1212245993888",-0.207624432,0,20,0
N5Y-4N,Venal,"30.7377128952266,-16.3506119879108",-0.245204904,1,10,0
MQFX-Q,Venal,"31.7550740146999,-16.4663628584073",-0.422913436,0,11,0
9-8BL8,Venal,"32.2701167598726,-16.2786268909859",-0.497033372,0,24,0
N6G-H3,Venal,"27.6087094789761,-12.8953626485962",-0.404284966,0,12,0
3A1P-N,Venal,"26.5259255536497,-11.7613222267183",-0.878544361,0,7,0
OZ-VAE,Venal,"27.7456288882289,-12.8059845373817",-0.309248984,0,13,0
A-AFGR,Venal,"27.891488315671,-12.5572280904377",-0.395258563,0,12,0
92K-H2,Venal,"27.4674583689983,-12.2279202553111",-0.442065279,0,4,0
AA-YRK,Venal,"26.8052731654739,-11.8611198143238",-0.412802155,0,7,0
BV-1JG,Venal,"27.9101275767238,-13.8803713784993",-0.234010235,0,3,0
0-BFTQ,Venal,"29.016871221566,-14.2707717900668",-0.174388344,0,10,1
SS-GED,Venal,"30.3722227054536,-14.0746946502972",-0.163631388,0,11,1
AJCJ-1,Venal,"31.0812355947973,-14.2639166971363",-0.151169786,0,1,0
6NJ8-V,Venal,"31.1917557601506,-15.4231557284823",-0.179320507,2,20,0
Y-4CFK,Venal,"31.1946984915577,-16.5923397207517",-0.190475373,1,30,1
HBD-CC,Venal,"28.5628283567654,-16.4003691627358",-0.122571473,0,7,0
P-GKF5,Venal,"28.8232895181025,-15.8934866118973",-0.131429479,0,9,0
E-7U8U,Venal,"29.0550561049622,-16.099368932877",-0.133442574,0,21,0
0-XIDJ,Venal,"28.8821470899806,-15.9544879636439",-0.119300773,0,9,1
SBL5-R,Venal,"28.6988943739009,-17.9845886430025",-0.128037048,0,1,0
O-TVTD,Venal,"29.1206495891771,-16.2496968980084",-0.097938092,0,2,0
8CIX-S,Venal,"29.8509089995083,-16.2811870673378",-0.089061396,0,16,0
D-SKWC,Venal,"28.8583815907259,-18.829451258603",-0.161060721,0,6,0
4RX-EE,Venal,"30.9050925178008,-13.895600013801",-0.162183539,0,1,0
V3X-L8,Venal,"31.2144618759999,-13.9954468921436",-0.162482581,0,10,0
N0C-UN,Venal,"32.031137538301,-13.1412146195923",-0.142043599,0,26,0
VG-6CH,Venal,"32.7470982163971,-13.3300261553842",-0.148245217,0,2,0
Z0-TJW,Venal,"33.1769841988569,-13.3981018335655",-0.157718955,0,12,1
QHJ-FW,Venal,"34.2624842651212,-13.5382626615204",-0.172758191,0,2,0
9IPC-E,Venal,"34.5568456929282,-12.9903216499862",-0.143936589,0,19,0
EIV-1W,Venal,"34.8235395593317,-13.7573696176775",-0.190757775,0,13,0
S-1ZXZ,Venal,"35.7539900483056,-14.7675607720217",-0.300786837,0,12,1
N-5476,Venal,"35.8384199565217,-15.6033862593331",-0.355341276,0,8,0
PZOZ-K,Venal,"36.089437892399,-15.3737502100331",-0.395217507,0,15,0
W3KK-R,Venal,"35.9681561583366,-16.2624183261007",-0.534679365,0,12,0
92D-OI,Venal,"36.520548051097,-16.0315286731959",-0.321984612,0,15,0
EK2-ET,Venal,"36.5074911514399,-15.5741737641493",-0.332991194,0,25,1
SE-SHZ,Venal,"35.4613236337989,-15.6938870225627",-0.472010076,0,5,0
JURU-T,Venal,"33.9674136393732,-12.6824810408492",-0.122743321,0,7,0
MC6-5J,Venal,"34.2870678439064,-12.3101541502035",-0.105155244,0,42,0
65V-RH,Venal,"33.9870769707199,-14.2310346158325",-0.271742743,0,3,1
4-7IL9,Venal,"34.4174131908754,-11.2924546165089",-0.101361987,0,5,1
2PLH-3,Venal,"34.1052305815462,-10.4297811187607",-0.141818619,0,10,0
RQ9-OZ,Venal,"33.7670783669246,-10.0433798792566",-0.15589188,0,5,0
B-CZXG,Venal,"34.6995240275598,-9.78638966968566",-0.237111795,0,3,0
0-O2UT,Venal,"34.4871882967274,-8.27937642764547",-0.421246448,0,8,0
Q61Y-F,Venal,"35.3334236964956,-8.37089169754329",-0.65513872,0,12,0
PF-QHK,Venal,"32.9750745652614,-13.0567229139867",-0.134401762,1,18,0
XW-6TC,Venal,"32.8398413411545,-12.4356314838682",-0.12490214,0,13,0
Q-7SUI,Venal,"33.3415181998769,-13.8972435293025",-0.175048131,0,3,0
VVD-O6,Venal,"33.0239445066642,-11.8430426149967",-0.124543857,0,3,0
6ZJ-SC,Venal,"33.5313126082482,-11.6147433014667",-0.127173874,0,23,1
P-VYVL,Venal,"33.374017726249,-12.0481509975882",-0.125218938,1,10,0
HD-JVQ,Venal,"32.8187125292629,-11.3441576725667",-0.134951972,0,6,0
H-AJ27,Venal,"35.2418400079922,-16.574659790163",-0.590983029,0,10,0
M2-2V1,Venal,"34.9328590903154,-16.9143363395998",-0.685704437,0,14,0
2TH-3F,Venal,"34.6653706863116,-17.5543377620432",-0.934034188,0,30,0
E1F-E5,Venal,"35.2626274630986,-17.5774352612564",-0.614754357,0,7,0
4S-PVC,Venal,"35.270619921604,-17.7568697832559",-0.745208939,0,13,0
WLF-D3,Venal,"34.4228837287966,-18.2303891161997",-1,0,8,1
LHJ-2G,Venal,"35.6788238585701,-13.7952131441959",-0.16745346,0,5,0
SHJO-J,Venal,"36.4634237481328,-13.3849110397856",-0.124623292,0,7,0
6UQ-4U,Venal,"35.5239331881208,-13.9881621604208",-0.174515149,0,15,0
430-BE,Venal,"35.1547851832857,-13.304512673625",-0.127688673,0,12,0
OJ-CT4,Venal,"37.1750615536274,-12.8392168037485",-0.068315151,0,19,0
AZ-UWB,Venal,"37.2096268772664,-12.7509216177151",-0.07725175,0,4,0
H-S5BM,Venal,"36.9678991445489,-13.05502937203",-0.066826742,0,8,0
FHB-QA,Venal,"34.8397245825335,-7.76494282784288",-0.379195495,0,9,0
Z3U-GI,Venal,"35.5566239919433,-7.04356384537335",-0.601801914,0,7,1
B3QP-K,Venal,"36.7065728201603,-7.64515894385468",-0.77202943,0,21,1
GVZ-1W,Venal,"36.4994839791895,-7.12500982391242",-0.902069693,0,23,0
G9D-XW,Venal,"34.4375002758558,-7.33416372658633",-0.328826628,0,12,0
42XJ-N,Venal,"35.5713729620901,-6.68963711884394",-0.412014932,0,11,0
L-IE41,Venal,"35.9236473448402,-8.4241168814163",-0.662038473,0,5,0
VG-QW1,Venal,"35.5921692453201,-7.67098509081238",-0.774871297,0,3,0
2IBE-N,Venal,"36.4915297762977,-9.33816605634057",-0.495035381,0,11,0
YJ3-UT,Venal,"35.8928340039535,-7.66226945593792",-0.678496938,0,17,1
ZD4-G9,Venal,"36.0796327112506,-7.45356358411403",-0.623714733,0,6,1
C2-DDA,Venal,"35.7500821009056,-7.15138037619432",-0.803730117,0,2,0
Dantumi,Lonetrek,"16.0364592197621,-16.8368542203213",0.398267937,11,2,1
Antiainen,Lonetrek,"17.9349594769873,-18.6573941643642",0.560299193,8,4,0
Ossa,Lonetrek,"16.8709781342955,-18.300916089699",0.53013686,6,8,0
Semiki,Lonetrek,"17.5485023255608,-19.0086400625425",0.590754492,4,10,0
Kiskoken,Lonetrek,"17.8183949412072,-18.3556082251829",0.518560477,4,6,1
Aurohunen,Lonetrek,"16.1245307581986,-15.6910281589774",0.375540227,3,8,0
Veisto,Lonetrek,"12.460110595496,-14.9118384812901",0.842494848,6,6,0
Sobaseki,Lonetrek,"13.3009769817822,-15.0273907174637",0.841025463,10,5,0
Funtanainen,Lonetrek,"13.8288294370232,-14.6167340138977",0.858976279,6,9,0
Isikemi,Lonetrek,"14.4966632135796,-14.7543582073384",0.780999432,11,3,0
Uosusuokko,Lonetrek,"15.0118766372066,-15.126329763172",0.69432183,4,17,0
Hageken,Lonetrek,"15.3305523835925,-15.0319372375694",0.604187552,9,25,0
Uemisaisen,Lonetrek,"13.6149767278779,-16.2805102391111",0.60593052,5,15,0
Sotrentaira,Lonetrek,"13.7885169587854,-16.9365745612285",0.512569589,5,12,0
Ouranienen,Lonetrek,"13.5362424763692,-15.7421551753137",0.693806491,1,8,0
Erenta,Lonetrek,"13.042769952753,-16.4326023717741",0.634758003,3,15,0
Kino,Lonetrek,"12.5107505898049,-16.0915471526408",0.727733926,6,15,2
Raussinen,Lonetrek,"14.11933882926,-17.1943004536666",0.453232736,3,9,0
Iidoken,Lonetrek,"12.3188087234066,-15.2141938390078",0.843815746,4,7,0
Tsuguwa,Lonetrek,"12.3480925798216,-15.9814051282808",0.769323094,5,14,0
Nourvukaiken,Lonetrek,"11.7107410870808,-14.8146194621252",0.816556729,13,0,0
Sarekuwa,Lonetrek,"11.7536968738359,-14.6749485989466",0.936501618,2,5,0
Ekura,Lonetrek,"12.9607192429056,-15.1506234826931",0.876417384,1,13,0
Tunttaras,Lonetrek,"11.3708710530392,-13.7947879195272",0.885312215,2,16,0
Vellaine,Lonetrek,"15.0422500399573,-14.7704108074526",0.581138985,4,7,0
Arvasaras,Lonetrek,"15.2406151534013,-14.8590517644254",0.516733846,3,5,1
Akonoinen,Lonetrek,"15.5823530862284,-15.1103316035749",0.494509892,4,10,0
Vaajaita,Lonetrek,"15.4539911400481,-15.9899096222109",0.462063647,4,3,0
Autaris,Lonetrek,"15.7442430432907,-14.6151007979252",0.468632011,8,15,0
Jan,Lonetrek,"16.1375552876168,-14.3037980652073",0.416953912,3,8,0
Saatuban,Lonetrek,"14.4565611406607,-16.5376593561712",0.549477346,9,3,0
Isikano,Lonetrek,"13.9132063760968,-16.3047112626251",0.67770076,5,14,0
Mara,Lonetrek,"15.8141402722386,-16.8667376582647",0.419987821,0,5,0
Isanamo,Lonetrek,"13.8216830136701,-16.1681714657093",0.635015556,4,13,0
Pakkonen,Lonetrek,"14.2256214613007,-17.7234226975084",0.420910297,9,3,0
Piekura,Lonetrek,"15.275339384622,-16.2978414560422",0.505969545,7,13,1
Amsen,Lonetrek,"13.763817142279,-14.5493013225457",1,1,4,0
Malkalen,Lonetrek,"14.2607076484879,-14.6649594970351",0.948175045,5,3,0
Korama,Lonetrek,"14.8377257895545,-15.0178062411014",0.770921537,12,22,0
Ylandoki,Lonetrek,"14.7816520416251,-14.63987271135",0.832836499,6,26,0
Aakari,Lonetrek,"15.3073342323802,-14.2770721781133",0.66223003,2,8,1
Isseras,Lonetrek,"15.5999520917135,-13.957460643132",0.560588406,8,4,0
Aunenen,Lonetrek,"17.8364177000174,-19.0652626298888",0.447790095,6,11,0
Elonaya,Lonetrek,"17.1241354361338,-19.6511648772223",0.665782485,7,6,1
Litiura,Lonetrek,"15.9137502607065,-18.5331947118291",0.489404959,7,4,0
Nonni,Lonetrek,"17.252398800809,-18.6961940786593",0.508041099,22,5,0
Passari,Lonetrek,"15.3684783066199,-17.4897595202147",0.440062501,4,5,1
Piak,Lonetrek,"16.8815704961716,-20.2097953607633",0.741152174,10,6,0
Airkio,Lonetrek,"12.0023944661702,-16.8108507737857",0.851632948,11,5,0
Kakakela,Lonetrek,"12.0921028989538,-17.2194299089345",0.972290903,8,10,0
Kamokor,Lonetrek,"11.9874748176616,-17.5786388384059",0.687696345,4,5,0
Todaki,Lonetrek,"12.2392284365913,-17.3810461919447",1,1,18,0
Ruvas,Lonetrek,"11.4540194017511,-17.5386677170151",0.780765406,4,2,0
Umokka,Lonetrek,"11.2635878922954,-18.1463138071084",0.561301465,11,12,0
Kirras,Lonetrek,"12.6666991720381,-15.2615394454412",0.821743297,3,11,0
Autama,Lonetrek,"13.0886427221083,-15.4505981706676",0.77510419,3,10,0
Tsukuras,Lonetrek,"13.2182847564491,-15.7593642688711",0.732158114,3,10,0
Nani,Lonetrek,"12.9656645031242,-14.8065696202304",0.842829832,4,7,0
Ajanen,Lonetrek,"12.9013363934483,-16.7553670435122",0.633785386,3,7,0
Kuoka,Lonetrek,"12.8147524057731,-17.0087215083607",0.576705183,0,4,0
Liukikka,Lonetrek,"18.1131683513124,-19.7504055528822",0.564361081,0,8,0
Rauntaka,Lonetrek,"18.8237070468149,-20.1012659532255",0.52568586,0,19,0
Aikantoh,Lonetrek,"17.9737976467417,-19.954094067569",0.645797392,7,6,0
Atai,Lonetrek,"19.2786121319181,-20.6882614253002",0.48111387,3,0,0
Daras,Lonetrek,"19.7781908233197,-20.6629627629525",0.359979189,1,2,0
Otalieto,Lonetrek,"19.6124179321005,-20.0557271839063",0.51344082,2,14,0
Iitanmadan,Lonetrek,"19.9719461479558,-21.517758568573",0.305869339,2,19,0
Jotenen,Lonetrek,"19.1583117985668,-20.0117730755098",0.582823853,5,7,1
Haajinen,Lonetrek,"17.0934059628838,-21.596720881802",0.801225642,8,8,0
Oipo,Lonetrek,"17.6359514762876,-22.5916760440338",0.759068027,5,14,0
Isinokka,Lonetrek,"18.0978764473085,-22.7900411575087",0.725113184,4,15,0
Yoma,Lonetrek,"19.0598185766776,-22.670367625929",0.647451477,0,15,1
Ibura,Lonetrek,"19.4321623880375,-22.2218982945239",0.619123662,2,9,0
Torrinos,Lonetrek,"19.9363479254981,-22.7416405818552",0.519667704,6,12,0
Endatoh,Lonetrek,"19.2983402036192,-20.9014446629986",0.573491664,5,5,0
Aivoli,Lonetrek,"19.0292347686389,-21.3624927000645",0.577975199,0,15,0
Uesuro,Lonetrek,"18.4187548281725,-22.0005887038887",0.523531751,5,8,0
Oishami,Lonetrek,"18.3851473635613,-22.0229711193543",0.450910983,1,15,1
Elanoda,Lonetrek,"17.9108820481906,-22.6016739741614",0.512768285,1,15,0
Ohbochi,Lonetrek,"17.8961404349471,-22.8373087815257",0.410927272,0,6,0
Isie,Lonetrek,"17.5038095915482,-23.3253181241858",0.357089238,1,8,0
Tamo,Lonetrek,"18.9352012562846,-21.9054207685235",0.338287344,13,6,0
Nannaras,Lonetrek,"19.5884243711564,-22.8119218372636",0.389715389,4,15,0
